House,Deaths,Proximity,Longitude,Latitude
133,0,278.17,-0.140087367,51.51206535
134,0,243.79,-0.139851604,51.51245234
135,0,243.76,-0.139807124,51.51239303
136,0,243.01,-0.139759677,51.51234855
137,0,243.43,-0.139732989,51.51230852
138,0,243.38,-0.139649957,51.51221807
139,0,278.49,-0.139916856,51.51189631
140,0,286.82,-0.140011752,51.51185035
141,0,281.81,-0.139955408,51.51187852
142,0,245,-0.139547651,51.51209204
143,0,279.54,-0.139875341,51.51184442
144,0,281.23,-0.139835308,51.51178659
145,0,281.87,-0.139780448,51.51173469
146,0,283.89,-0.139734484,51.51167242
147,0,285.29,-0.139681107,51.51161607
148,0,286.51,-0.13962773,51.51156418
149,0,245.19,-0.139488343,51.51203717
150,0,245.51,-0.139451275,51.51200159
151,0,245.78,-0.139409759,51.51196452
152,0,246.58,-0.139356382,51.51191262
153,0,247.86,-0.139319314,51.51186814
154,0,249.26,-0.139273351,51.51181773
155,0,250.84,-0.139218491,51.51176138
156,0,288.69,-0.139552112,51.51148856
157,0,290.56,-0.139526906,51.51145001
158,0,255.4,-0.139131011,51.51165166
159,0,256.55,-0.139076151,51.51160718
160,0,258.39,-0.139010912,51.51155083
161,0,293.43,-0.139432013,51.51136104
162,0,295.23,-0.139389014,51.51131656
163,0,297.9,-0.139348982,51.51126466
164,0,297.91,-0.139286707,51.51123353
165,0,302.17,-0.139251123,51.51116829
166,0,302.88,-0.139203676,51.51113863
167,0,306.74,-0.139138437,51.51106746
168,0,260.37,-0.13897681,51.5115108
169,0,261.08,-0.138926397,51.51147818
170,0,264.21,-0.138893778,51.51142777
171,0,265.8,-0.138853745,51.51139218
172,0,268.67,-0.138816678,51.51134473
173,0,270.28,-0.138769231,51.51130766
174,0,271.9,-0.138715853,51.51126911
175,0,274.47,-0.138658028,51.51122018
176,0,276.54,-0.138619477,51.5111846
177,0,314.04,-0.138950133,51.51091474
178,0,314.31,-0.139168093,51.51099777
179,0,318.18,-0.138917514,51.51085988
180,0,321.07,-0.138862653,51.51081094
181,0,324.26,-0.138818172,51.5107635
182,0,328.12,-0.138773691,51.51071012
183,0,336.41,-0.13867435,51.51059743
184,0,340.01,-0.138626904,51.5105485
185,0,342.97,-0.138575009,51.5105055
186,0,284.87,-0.138506792,51.51106153
187,0,286.6,-0.138457862,51.51102891
188,0,290.52,-0.138414864,51.51097701
189,0,293.4,-0.138358521,51.51093253
190,0,297.1,-0.138294764,51.51087915
191,0,301.97,-0.138235456,51.51081688
192,0,307.13,-0.138162803,51.51075015
193,0,311.9,-0.13810053,51.51069084
194,0,316.77,-0.1380516,51.5106345
195,0,320.9,-0.138008602,51.51058705
196,0,324.78,-0.137949294,51.5105396
197,0,328.83,-0.13790333,51.51049364
198,0,338.87,-0.137762472,51.51037798
199,0,337.92,-0.137679439,51.51037502
200,0,334.96,-0.13756082,51.51038688
201,0,321.98,-0.137787675,51.51053812
202,0,318.77,-0.13762754,51.51054405
203,0,310.92,-0.137575643,51.51060929
204,0,329.23,-0.137147136,51.51040023
205,0,328.96,-0.137031483,51.51039578
206,0,307.82,-0.136985514,51.51058409
207,0,300.66,-0.137268715,51.5106686
208,0,307.6,-0.137623089,51.51064636
209,0,303.89,-0.137682398,51.51068936
210,0,299.34,-0.137725396,51.51073829
211,0,296.23,-0.137774326,51.51077536
212,0,291.56,-0.137829186,51.51082874
213,0,288.97,-0.137888495,51.51086432
214,0,286.27,-0.137931493,51.51089843
215,0,282.45,-0.137977457,51.51094439
216,0,280.82,-0.138014525,51.51096812
217,0,277.8,-0.138081247,51.5110126
218,0,272.84,-0.138103487,51.51106598
219,0,296.17,-0.137292438,51.5107116
220,0,292.6,-0.137351747,51.51075015
221,0,289.5,-0.137378435,51.51078129
222,0,288.69,-0.137416986,51.51079315
223,0,283.72,-0.137457019,51.51084357
224,0,281.35,-0.137516328,51.51087322
225,0,274.7,-0.137574153,51.51094291
226,0,267.47,-0.137449602,51.51099184
227,0,270.84,-0.137414017,51.51095626
228,0,274.72,-0.13737695,51.51091622
229,0,271.44,-0.137672013,51.51098888
230,0,264.76,-0.137737252,51.51106301
231,0,261.94,-0.137799526,51.51110156
232,0,270.32,-0.138158348,51.51110453
233,0,249.26,-0.137990795,51.51126615
234,0,245.5,-0.138038242,51.51131508
235,0,241.45,-0.138087171,51.51136846
236,0,241.45,-0.138087171,51.51136846
237,0,238.16,-0.13815241,51.51142035
238,0,234.48,-0.138213201,51.5114767
239,0,231.13,-0.138273993,51.51153156
240,0,227.27,-0.138334783,51.51159384
241,0,224.58,-0.138391126,51.51164425
242,0,223.7,-0.13844747,51.51167687
243,0,220.43,-0.138471192,51.51172283
244,0,218.81,-0.138520122,51.51176287
245,0,217.13,-0.138561638,51.51180142
246,0,276.23,-0.138330345,51.51109415
247,0,258.63,-0.138413374,51.51129729
248,0,256.2,-0.138440063,51.51133139
249,0,254.61,-0.138497889,51.51136846
250,0,250.29,-0.138554232,51.51143518
251,0,246.7,-0.138631332,51.51150487
252,0,243.9,-0.138706951,51.51156863
253,0,242.42,-0.138754397,51.51160718
254,0,240.28,-0.138792948,51.51165018
255,0,235.57,-0.138819636,51.51171839
256,0,243.46,-0.138930841,51.51168428
257,0,239.58,-0.138864118,51.51169466
258,0,206.31,-0.138641702,51.51197045
259,0,210.86,-0.138702495,51.51194969
260,0,216.04,-0.138773666,51.51192745
261,0,222,-0.138843356,51.51189483
262,0,228.63,-0.138936769,51.51186814
263,0,234.25,-0.139006458,51.51183997
264,0,239.61,-0.139101353,51.51183107
265,0,205.57,-0.138443017,51.51187556
266,0,195.29,-0.138319949,51.51193338
267,0,205.56,-0.138684701,51.51200456
268,0,205.02,-0.138736596,51.51204311
269,0,204.78,-0.138787008,51.51207869
270,0,204.55,-0.138832972,51.5121128
271,0,204.77,-0.138895246,51.51215431
272,0,205.12,-0.138948624,51.5121899
273,0,204.83,-0.138991622,51.51222845
274,0,204.61,-0.139031656,51.51226552
275,0,188.41,-0.138597216,51.51216766
276,0,188.14,-0.138662455,51.51221511
277,0,189.21,-0.138726212,51.51224624
278,0,187.94,-0.138764763,51.51229369
279,0,189.26,-0.138868553,51.51236041
280,0,190.86,-0.138930827,51.51239155
281,0,190.69,-0.138964929,51.51242714
282,0,190.77,-0.139016824,51.51247903
283,0,192.4,-0.13907465,51.51251314
284,0,192.74,-0.139117648,51.51255762
285,0,193.67,-0.139156199,51.51258727
286,0,195.52,-0.139211059,51.51262138
287,0,196.2,-0.139252575,51.51266586
288,0,197.87,-0.139298539,51.512697
289,0,200.58,-0.139360813,51.5127311
290,0,206.77,-0.139516498,51.51285417
291,0,207.34,-0.139544669,51.51290162
292,0,209.88,-0.139590633,51.51292386
293,0,214.39,-0.139682561,51.51300244
294,0,216.19,-0.139719629,51.51304248
295,0,220.04,-0.139784868,51.51308251
296,0,222.1,-0.139820453,51.51311068
297,0,224.92,-0.1398679,51.51314923
298,0,226.51,-0.139894589,51.51317592
299,0,229.29,-0.13993907,51.51321299
300,0,231.92,-0.139980586,51.51325599
301,0,233.51,-0.140005791,51.51330344
302,0,225.06,-0.139771529,51.51281265
303,0,224.86,-0.139786356,51.51285565
304,0,226.73,-0.139830837,51.51290013
305,0,229.06,-0.139876801,51.51293424
306,0,231.13,-0.139919799,51.51297575
307,0,236.08,-0.140005797,51.51302765
308,0,239.22,-0.140065105,51.51309141
309,0,242.29,-0.140115517,51.51312551
310,0,244.63,-0.14015555,51.51316851
311,0,247.43,-0.140201514,51.5132204
312,0,251.42,-0.140256376,51.51319223
313,0,255.44,-0.140311238,51.51316406
314,0,267.68,-0.140496578,51.5132634
315,0,260.21,-0.14038982,51.51328416
316,0,247.39,-0.140204476,51.51341464
317,0,243.86,-0.140155547,51.51335385
318,0,253.67,-0.14028899,51.51349175
319,0,261.27,-0.14040613,51.51331975
320,0,265.38,-0.140465438,51.51335089
321,0,269.21,-0.140518815,51.51341909
322,0,273.5,-0.140576641,51.51347692
323,0,277.02,-0.140622605,51.51352437
324,0,279.98,-0.140659672,51.51356737
325,0,285.05,-0.140726394,51.51361037
326,0,287.84,-0.140760497,51.51364595
327,0,291.16,-0.140799047,51.5136934
328,0,270.98,-0.140505465,51.5136934
329,0,261.61,-0.140394263,51.51356588
330,0,264.68,-0.140434296,51.51359257
331,0,268.12,-0.140475811,51.51363854
332,0,284.71,-0.140680426,51.51379126
333,0,278.49,-0.140588496,51.51379423
334,0,270.82,-0.140462463,51.51383723
335,0,262.33,-0.140327533,51.5138654
336,0,255.47,-0.140222259,51.51387578
337,0,246.42,-0.140073985,51.51390988
338,0,240.94,-0.139977606,51.5139425
339,0,235.72,-0.139887159,51.51396771
340,0,228.72,-0.139774471,51.51398105
341,0,278.32,-0.140506941,51.51400922
342,0,261.75,-0.140197047,51.51412784
343,0,265.44,-0.140213356,51.51419605
344,0,258.21,-0.140162945,51.51409226
345,0,252.58,-0.140059153,51.5141234
346,0,244.61,-0.139915327,51.5141575
347,0,282.75,-0.140544008,51.51407298
348,0,287.47,-0.140584041,51.51413526
349,0,295.47,-0.14065521,51.51422867
350,0,299.4,-0.140687829,51.51427612
351,0,306.49,-0.140754551,51.51434581
352,0,271.75,-0.140286009,51.51423609
353,0,277.78,-0.140336421,51.51430281
354,0,283.69,-0.140385349,51.51436657
355,0,287.89,-0.140420934,51.51440957
356,0,312.28,-0.140806445,51.51440512
357,0,318.72,-0.140850926,51.51448815
358,0,326.09,-0.140928027,51.51454301
359,0,309.64,-0.140601823,51.51462456
360,0,332.72,-0.14108075,51.51447184
361,0,337.98,-0.141175646,51.51445108
362,0,342.01,-0.141249783,51.51443181
363,0,346.54,-0.141328368,51.51441698
364,0,354.91,-0.141325398,51.51462308
365,0,352.01,-0.14126164,51.51464829
366,0,346.37,-0.141162296,51.51466163
367,0,337.29,-0.141003643,51.51467943
368,0,321.21,-0.140686337,51.51474615
369,0,315.82,-0.140652235,51.51468387
370,0,329.19,-0.140745645,51.51482622
371,0,343.37,-0.141054055,51.51473873
372,0,348.27,-0.141088157,51.5147936
373,0,354.17,-0.141132638,51.51485439
374,0,358.97,-0.141171188,51.51490035
375,0,364.74,-0.141218634,51.51495373
376,0,335.84,-0.140807918,51.51487811
377,0,340.48,-0.140831641,51.51493446
378,0,347.1,-0.140895397,51.51498339
379,0,352.86,-0.140939878,51.51503677
380,0,359.55,-0.140985842,51.51510349
381,0,371.03,-0.141263115,51.51501897
382,0,375.38,-0.14128832,51.51506939
383,0,383.45,-0.141363939,51.51513166
384,0,365.01,-0.141011047,51.51516873
385,0,401.35,-0.141660485,51.51513463
386,0,400.31,-0.141610072,51.51517021
387,0,398.74,-0.14155521,51.51519987
388,0,394.7,-0.141495901,51.51519097
389,0,391.37,-0.141442522,51.51518801
390,0,389.97,-0.141401005,51.5152058
391,0,385.97,-0.141334282,51.51520432
392,0,371.54,-0.141074804,51.5152147
393,0,367.66,-0.141000667,51.51522063
394,0,363.82,-0.14092653,51.51522656
395,0,358.93,-0.140833117,51.51523249
396,0,349.06,-0.140632948,51.51525177
397,0,343.98,-0.140529156,51.51526066
398,0,339.8,-0.140452054,51.51526066
399,0,335.97,-0.14036309,51.51527401
400,0,330.14,-0.140355678,51.5151969
401,0,325.84,-0.140349748,51.51513908
402,0,321.76,-0.140330473,51.51509459
403,0,317.88,-0.140314164,51.51505011
404,0,313.13,-0.140300821,51.51498932
405,0,309.72,-0.140284511,51.51495077
406,0,324.15,-0.140155507,51.51526215
407,0,320.16,-0.14004875,51.5152829
408,0,314.22,-0.13991382,51.51529477
409,0,312.58,-0.13984858,51.51531552
410,0,310.79,-0.139790753,51.51532887
411,0,306.96,-0.139716616,51.5153259
412,0,304.27,-0.139638031,51.51533925
413,0,301.45,-0.139575756,51.51534073
414,0,299.04,-0.139483826,51.51536297
415,0,295.57,-0.139418586,51.51535704
416,0,294.98,-0.139354828,51.51538373
417,0,317.27,-0.140116957,51.51519542
418,0,313.2,-0.140106579,51.51514649
419,0,309.61,-0.140102132,51.51509904
420,0,305.36,-0.140082857,51.51505308
421,0,301.67,-0.140076927,51.51500415
422,0,295.51,-0.140068033,51.51491963
423,0,304.34,-0.140256341,51.51489146
424,0,299.41,-0.140223721,51.51484253
425,0,294.16,-0.140188137,51.51479063
426,0,261.37,-0.139689939,51.51472243
427,0,258.61,-0.139606906,51.5147506
428,0,257.18,-0.139555009,51.51477136
429,0,252.39,-0.139457149,51.51477877
430,0,265.69,-0.139328145,51.51504418
431,0,270.76,-0.139362247,51.51508718
432,0,301.06,-0.139836721,51.51517318
433,0,289.8,-0.139323691,51.51533925
434,0,285.77,-0.139301451,51.51530366
435,0,278.83,-0.139264384,51.51524139
436,0,275.14,-0.139240661,51.51521025
437,0,270.18,-0.139211007,51.51516725
438,0,262.81,-0.139187285,51.51509163
439,0,258.42,-0.139156148,51.51505604
440,0,261.63,-0.139239181,51.51504715
441,0,240.51,-0.139059774,51.51489146
442,0,239.82,-0.139000464,51.51491815
443,0,235.21,-0.138984154,51.5148707
444,0,267.76,-0.138997491,51.5152488
445,0,263.62,-0.138976734,51.51521173
446,0,260.58,-0.138960424,51.51518504
447,0,256.33,-0.138933736,51.51514946
448,0,269.78,-0.138517081,51.51546677
449,0,273.04,-0.138620872,51.5154638
450,0,273.49,-0.138681665,51.51544601
451,0,275.92,-0.138748388,51.51544601
452,0,277.41,-0.13882549,51.51543118
453,0,280.98,-0.138942627,51.5154208
454,0,282.11,-0.139034557,51.51539263
455,0,282.68,-0.139105729,51.51536594
456,0,199.34,-0.138776578,51.51454153
457,0,192.4,-0.13873358,51.51447777
458,0,196.93,-0.138844786,51.5144585
459,0,198.68,-0.138914475,51.51442884
460,0,160.89,-0.138414796,51.51427464
461,0,166.56,-0.138533415,51.51426426
462,0,170.11,-0.138643139,51.51422571
463,0,175.28,-0.13875731,51.51420347
